0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0010011259326596633,0.0010011259326596633,0.0010011259326596633,0.0010011259326596633,0.0010011259326596633,0.0010011259326596633,0.0010454102678243878,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010020653411454659,0.00113528919450606,0.0014623921796654733,0.0014623921796654733,0.0014623921796654733,0.0014623921796654733,0.0014623921796654733,0.0018741873734289261,0.09737938186419326,0.0010997701419340881,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010020653411454659,0.001203356944369178,0.0034125054074382998,0.010506241580639824,0.015445428800508358,0.015445428800508358,0.015445428800508358,0.021040574883150292,0.35917749071134186,0.23530302800129121,0.10875590848207205,0.0010997701419340881,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0011352891945060647,0.0034125054074379928,0.021333973221168673,0.10668739670266109,0.21671680316241859,0.26058885827350176,0.27718000753533978,0.84045004416172864,0.88824154937872657,0.70932024731052068,0.23530302800129477,0.097379381864193384,0.0010454102678243878,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0014623921796654,0.010506241580631976,0.10668739670266919,0.42068828515926504,0.66647208746854902,0.71637652577719435,1.2954275181065298,1.5520605548998736,1.6021787989239513,0.88824154937872835,0.35917749071133898,0.0018741873734289555,0.0010011259326596633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0014623921796654,0.015445428800494553,0.21671680316243236,0.66647208746854925,0.91380358763420744,1.539303012387129,1.8717207612157747,2.1009940086994328,1.5520605548998843,0.84045004416171021,0.021040574883157494,0.001462392179665407,0.0010011259326596633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0014623921796654,0.015445428800494553,0.26058885827351563,0.71637652577719479,1.539303012387129,1.9277325999816655,2.1982748483137651,1.8717207612157813,1.2954275181065253,0.27718000753535132,0.015445428800494546,0.001462392179665407,0.0010011259326596633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0014623921796654,0.015445428800494553,0.27718000753535199,1.295427518106528,1.8717207612157782,2.1982748483137651,1.9277325999816695,1.5393030123871245,0.71637652577719435,0.26058885827351563,0.015445428800494546,0.001462392179665407,0.0010011259326596633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0014623921796654,0.021040574883157911,0.8404500441617182,1.5520605548998772,2.1009940086994328,1.8717207612157769,1.5393030123871245,0.91380358763420744,0.66647208746854925,0.21671680316243236,0.015445428800494546,0.001462392179665407,0.0010011259326596633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010011259326596633,0.0018741873734289447,0.35917749071133881,0.88824154937872613,1.6021787989239509,1.5520605548998825,1.2954275181065298,0.71637652577719413,0.66647208746854902,0.42068828515926504,0.10668739670266919,0.010506241580631969,0.001462392179665407,0.0010011259326596633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010454102678243878,0.09737938186419326,0.23530302800129488,0.70932024731052024,0.88824154937872679,0.84045004416170688,0.27718000753533978,0.26058885827350176,0.21671680316241859,0.10668739670266109,0.021333973221168673,0.0034125054074379928,0.001135289194506066,0.0010011259326596633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010997701419340881,0.10875590848207199,0.23530302800129121,0.35917749071134186,0.021040574883163122,0.015445428800508358,0.015445428800508358,0.015445428800508358,0.010506241580639824,0.0034125054074383016,0.0012033569443691754,0.0010020653411454659,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010997701419340881,0.097379381864193384,0.0018741873734289261,0.0014623921796654733,0.0014623921796654733,0.0014623921796654733,0.0014623921796654733,0.0014623921796654733,0.00113528919450606,0.0010020653411454659,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
